look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours golden copper with thick white frothy head. Subtle citrus notes and malty backbone on the easy drinking IPA. HIT the SPOT at SB Zoo, cheers! 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Classic IPA with a crisp tart taste and a bit of a piney bite to finish. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours copper with a finger of white foam that retains well. Aroma is orange and clementine, pine, dank, resin and syrup. Toasty biscuits, and light earthy malts round out the aroma. Hops really jump out, and hit old-school, classic notes in a beautiful way. Flavor profile is dank, resin, fir and orange citrus hops with biscuity, earthy malts behind. It carries a light bitterness and bite, but is just enough to add a little bark, not bite, to the flavor profile. Mouth feel is crisp, with a light effervescence across the tongue. It has a medium thickness. Overall, an old school, classic IPA hitting evergreen forest hop notes mixed and mingled with California resin-y. It features a light bite, but an overall soothing taste.     Served in a 12oz snifter from a 12oz can.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Had it on tap at wolf head. Quite tasty. Good rich flavor 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Even know it's 7% alcohol it does not taste strong. Very clean fresh flavored very Enjoyable. 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 12 oz can - just over 3 months since canned. Pours a clear golden orange with initially tight foamy turning to bubbly 2 fingers white head. Aroma is sweet caramel malt, some tangerine, pineapple, grapefruit. Taste starts caramel sweet, but followed quickly by grapefruit, citrus, piney bitterness that builds as keep drinking leaving a clean crisp lingering bitterness on the finish of a medium full bodied IPA. Great classic IPA.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 From the bottle, it pours a clear golden amber with a nice off-white long lasting head, it leaves a good bit of lace as you enjoy the beer. Very pleasant, hoppy scent. Very pleasant, enjoyable hoppy taste. Yum!   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Pours out a pale gold color that is just a bit cloudy. The head is off-white and a bit foamy. Retention is moderate and leaves some lacing.    The nose is bitter citrus. Getting some orange and pineapple. Caramel sweetness balances it out. Grains are faint.    Taste is extremely bitter. Lots of citrus notes are hit. Its extremely juicy. Although the bitterness is high those fruit flavors add a nice sweet balance. Bitter forward but not killer.    Medium bodied and wet. Carbonation is medium to high with a fizzy feel.   
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4 | overall: 5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 Hard to find fresh in my neck of the woods. 
look: 3 | smell: 3 | taste: 4 | feel: 3 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 Interesting blend of hops and malts to make this an insanely drinkable 7.5%+70ibu. Smooth IPA with a clean finish. But the high bitterness makes is a slow drinker for me even though it is wonderful.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4.25 [Original rating 2012-12-01] Pours clear gold with a small white head and a little bit of bubbles from the bottom. Aroma of flowery hops, citrus, stone fruit... peach or apricot? Taste is citrusy hops, a little sweet malt for balance, more citrusy hops. Excellent IPA.   
look: 4.75 | smell: 3.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 This IPA pours just about perfectly clear with just a slight haze. Rich gold in color. It poured with a white head roughly 2 fingers deep, but that dissipated rather quickly. The smell wasn't as prominent as some ipa's (though it could ust be due to allergy season). There was a very faint earthy-citrus aroma with hints of ripe melon. But the taste; Oh wow. It has a slight carbonation punch, followed by sweet malts washing over the tongue and finishes with a bitter kick to send you on your way. The bitterness is just pretty moderate though. It comes and goes, it doesn't linger on the palate like with many IPAs. Overall, a very solid beer, and one that I can see myself coming back to time and time again.   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 With the name, I thought Firestone might be a UK brewery, but it's in Paso Robles, CA. I doubt a UK brewery would produce an IPA this delicious. 1st taste was pure cream. Malt-forward, but sufficient hop bitterness to smooth everything out and not leave either a syrupy sweet or over-the-top bitter aftertaste. If you have read my other reviews, you know I loathe citrus-forward IPAs. This has hints of citrus but this is by no means "tropical" or "fruity" IPA ( thank God). It is well balanced in the hop profile with some nice spice and pine coming in alongside the citrus. At 7% alcohol, it is at my ideal percentage for an IPA. Well done, Firestone. Thank you for such a deliciois, creamy, drinkabke brew!   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 NEIPA lovers will probably avoid this, but that’s their loss. This is an exceptional IPA, and the balance between malt and hops is incredible. Clean, hoppy and malty.... what more do you want? Haze? Dank? Juice? Broaden your horizons, fer chrissakes...and with this one, you will.   
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.25 Union Jack IPA pours a copper color, with a small, long lasting and slightly lacing head. Rich crisp aroma. Flavor is hoppy, but very dry, with great floral notes. Great body and feel, very dry. Overall, fanatic IPA, very dry.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 poured deep amber color with thick white head. Floral, citrus aroma well balanced with a background of maltiness. The taste follows the nose with one of the most well balanced IPA's I have ever had. A must drink!   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 Amazing. Great example of the style 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 Great smooth taste fairly stout with a good smell 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 best balanced IPA in a category that has been raped and pillaged by impostors, forced frauds and replicas.... 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4.25 Very nicely balanced IPA, medium bodied, floral and citrus hops, getting mango and passion fruit, along with grapefruit and piney bitterness, smooth and not too bitter on the finish, nicely done.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 This one is a winner! Not too sweet...not too bitter. It just kind of nails the right balance. Very good with seafood and great to just kick back with. I'd buy this one again.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 Poured from a can into a pilsner glass. Golden color with two fingers of foam and good lacing. The lacing sticks to the side of the glass for a while after you drink it. The aroma is good but not very bold, and that is my only knock on this beer. The flavor is the gorgeous, West Coast IPA Style, with just the right amount of piney taste and good bitter hop flavor. Sets on the palate well & finishes well. Overall, a WELL above average IPA, probably one of the top seven or eight IPA's I have had.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Canned on 3/26, drinking on 6/29.    Look: Lovely gold color with bubbles streaming up from the bottom.    Smell: Nice hops smell.     Taste: Delicious. Right level of bitterness. Some fruity presence along with the pine. Malt is not noticeable although it probably contributes to the balance.    Feel: Pleasant.    Overall: Enjoyable, straight ahead IPA.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 A: poured from a 12 oz can into a pint glass, golden orange with a large white head that lingers leaving good lacing, clear    S: floral citrus hops, pineapple, grapefruit, mango, papaya    T: tons of tropical fruit, pineapple, tangerine, mango, surprisingly sweet, finish ends with grapefruit    M: sticky    O: not sure how I missed reviewing this one for so long, picked some up fresh in California and love it   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 On cask at PreFunk. Cask smooths out the bitterness, rich golden color, lots of sticky lacing. Velvety consistency. Nice west coast IPA, although a bit on the lighter side.   
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 Canned 6 weeks ago.    L — Pours a completely clarified copper with two fingers of rocky white head produced with moderately aerated pour. Some retention and minimal lacing	  S — Sweet candied citrus, pine resin, caramel, mild tropical fruits, lemon zest, hint of floral. Quite nice	  T — Starts juicy with oranges, guava, peach, even a touch of pineapple. Then a wave of piney, earthen bitterness rushes in to balance things out. Caramel and honey-bread sweetness throughout	  F — Some fluffiness. Medium mouthfeel, medium+ carb. Flies off the palate a little quick, which makes the end of the sip feel a little watery. Good amount of lasting bitterness on the finish	  O — Overall I was pleasantly surprised by this one. Usually am not the biggest fan of IPAs from this ‘era’, and at 6 weeks out it remains in good shape	    78/100   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 This beer pours a nice golden color with s 2 finger white head. The retention is average, and there's a bit of lacing on the glass as the head leaves.   The nose is quite nice in the hops department. Quite citrusy. Grapefruit, pineapple.   Taste - is an IPA. The hops really dominate with the citrus more up front and the pine taste on the backside.   Feel - Decent bodied, and the hops do linger in my throat.   Yes, this is a decent IPA.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Another nice looking beer with a fair head and no lacing. Has a good hop aroma. Taste is nice. Has a slight fruit and hop bitterness. It’s a pleasure going down. Overall I’ve had better but I am definitely a Firestone Walker fan. On draft at Ron’s Corner Tavern.   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Fantastic, balanced IPA. 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 2.75 | taste: 2.75 | feel: 4 | overall: 3 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 This beer pours a simple gold with a large head. The aroma is slightly sweet with a classic mix of grapefruit flesh and peel, pine, tangerine, kiwi, pineapple, and a touch of caramel. The flavor is starts sweet with pine, pink grapefruit flesh and peel, tangerine, pineapple, kiwi, mango, and a rich caramel at the end. the mouthfeel is fairly full with soft, sudsy carbonation. Overall this is a great, classic IPA. Bitter, sweet, and flavored like citrus and pine. So glad this finally made it to our area.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours crystal clear honey amber with a thin white cap that leaves great lacing. Aroma is a blend of tropical and citrus fruits. The flavor is oranges and mangos with some bitter hop bite in the finish. Feel is fresh and crisp. Very nice.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 -deep amber tap pour with a 2 cm foam cap. The aroma a more malt than hop. The flavors are of a moderate biscuit malt body and a pine and grapefruit hop bite. The body is full, overall a pretty good West Coast IPA example.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 Overall I like this beer but feel it could be bit bigger in taste and smell especially for a 7.0 ABV. Prolly the beer I like best from Firestone Walker.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 Trade extra - pushing 3 months old on arrival. Meh.    A nice biscuit-y aroma. Flavor is pure tree sape. Feel is highly carbonated and dry. Overall, I'm a bitter west coast IPA guy but this just isn't doing it for me.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Had 1 at Masala Art in DC. 
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Crystal clear, orange with a fluffy off white head. Great lacing and the head clings to the edges of the glass. Fruity and piney aroma with some sweet caramel notes. Nice medium to light body with moderate carbonation. Quite a tasty beer.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 Another perfectly clear brew by Firestone Walker. I love the clarity of their brews. I can see right through this golden beer without any problem. No sediment at all. One finger worth of a slightly off white crown.   The smell of this is piney and juicy. Tropical with oranges and mango notes.   The taste is the sharp pine with some of the juicy tropical notes. Has a balanced malt backbone.   The feeling is wet and a juicy type sticky.   Overall, I've not been let down by Firestone Walker yet. I'll keep buying their brews.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 Nice pour. Two fingered thick white frothy head. Great lacing on glass. Color is a yellow orange. Smell is faint citrus. Taste is a refreshing blend of fruit, hops and malt. Nice balance and smooth. Body is on the light side of medium. Continous carbonation. A really fine IPA   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Had it on tap in a shaker pint. Golden yellow color with a nice white head and lacing. A somewhat floral smell. Taste is piney with a bite of grapefruit. A pleasant bitterness.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Rich thick head, smooth creamy feel. Tastes a bit like a double IPA. A little light in aroma. A very good beer. You have to try this one! 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 My local liquor store owner talked me into trying this out and I am glad I did! This is right up there with Bell's 2 Hearted Ale, but about 3 bucks cheaper. Nice and hoppy yet not too bitter. I'm surprised I can get this from CA to here in IN. It's also fresh...only a little over 2 weeks old. I WILL get this again.   
look: 2.5 | smell: 2 | taste: 1.75 | feel: 1.5 | overall: 2 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 4 Not that much of a convincing aroma coming from this West Coast IPA. The sip tastes like an IPA through and through, but gives way to a watery aftertaste. Not my favorite IPA, could have more flavor, but not a bad beer overall.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Firestone Walker Brewing Co. "Union Jack IPA"  12 fl. oz. brown glass bottle, "BOTTLED ON:11/22/17 14:54"    Notes via stream of consciousness: Its slightly hazy deep golden body rests gently beneath a two finger-thick head of rocky off-white. Only a few bubbles can be seen here and there streaming steadily upwards. The aroma is floral and citrusy with soft grapefruit, moderate pine, and mildly biscuity from the malt. There are no surprises here in that that's exactly what you get in the flavor. A solid bitterness anchors and balances it, and it finishes dry with some bitterness, earthiness, a dollop of sweet biscuity & honeyish malt, and citrusy hops lingering. It's medium bodied and crisp but not too crisp, although it is sharper than what I might normally call "gently crisp". What it offers, like most of the best beers out there, is a richness within its malt, clarity in its hops, a balance between it's components, and a "rounded" character that has no components popping out too much more than any other (keeping in mind that it is a bitter IPA and the bitterness should be a bit elevated). Looking back it's also still got almost a full surface covering of creamy foam, and the lacing is excellent. Very nicely done!   
look: 3.75 | smell: 4.25 | taste: 3.5 | feel: 3.25 | overall: 3.75 Poured my can into a pint glass: Wonderful (one of the best softest foams) head, though it did not last to long. Great clarity. My can lacked carbonation, I thought, for style. Aroma was wonderfully crisp and fruity. I sensed some melon, also citrus, but not overpowering, and made you want to immediately taste and taste again. A classic American IPA in all but stated carb profile. I find it probably impossible to only drink one of these--I would really prefer to try this one on tap. I was lucky enough to visit the brewery and sample all the treasures there, but this can lacked luster I thought. All in all, a classic.   
look: 4 | smell: 3.75 | taste: 3 | feel: 3 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 Think the pub may have given me the wrong beer. The one i got was not smooth, with no hint of citrus, but with a piney aftertaste. 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured out of bottle dated 11\22\17 into a chalice glass. Very thick head with lots of lacing that   Astrid right to the last drop. Lots of hop flavor. A real good example of an American IPA.  This is a real exceptional IPA   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 It took me a while to finally buy Union Jack IPA from Firestone Walker, but it is a good Westcoast IPA, just like I've heard, but perhaps not my favorite.    Look: clear golden with a thick white bubbly head    Aroma: caramel sweetness and citrus    Taste: caramel sweetness, grapefruit, pineapple, some dankness, and a modest pine resin after taste.     Feel: light to medium body   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 Great west coast IPA. My go to beer!  Well balanced. Golden color. Great citrus piney taste and aroma. Easy choice if love a good west coast IPA. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 12oz bottle into Nonic Pint   Bottled on 11/30/17  about 2 months old  L- pours a perfectly clear burnt orange with a nice big fluffy white head, great retention  S- caramel, pine, melon, grapefruit  T- melon, citrus, grapefruit, slightly toasted caramel, toffee, grapefruit aftertaste   F- medium-bodied, below average carbonation, perfectly crushable  Overall a quintessential West Coast IPA, which is very refreshing in 2018. The interesting note, is that the bitterness is more up front with the sweetness of the malt on the finish   
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 BO 12-21-17  12oz bottle to Becher. Pours crystal clear dark gold. Little head, little lacing.   Aroma is balanced between faint mix of citrus, pine and malts. Little hoppiness. Taste is mildly hopped upfront with a pine bite, followed by a citrus whiff, and a lightly sweetened malt base. MF was light front to back. Hoppy bitterness throughout, yet it was smooth to the point the bitterness wasn't bad at all.     I had mixed feelings with UJ. There was a lot to like for sure, but there was also a letdown in the aroma/flavor department.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Firestone Union Jack IPA 7% bottle cooled to 55 F and poured into a glass. Purchased as part of a mixed case from a discount retailer.     This is an above average American style IPA. The beer has a moderate white head over a healthy amber body. Taste is the main feature here. Emphasis is on a tangy hop bitterness.   
look: 5 | smell: 5 | taste: 5 | feel: 4 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Was my favorite beer for many years, still great but now tastes too mellow. When I first tried it years ago, was on tap & was a new plateau of awesomeness.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
