look: 4.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 This beer pours a dark brown almost black color, the head is off white and fade away pretty quickly, There was some lacing left on the glass. I got a coffee flavor that to me was very present. I do not like coffee so the taste was not too easy on my palate. For the style is good, but not something I wood buy again.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 4 | taste: 5 | feel: 5 | overall: 5 Loved it. I’m a big fan of Founders Potter, but this is really good. 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Just had this is Rock Falls Illinois on Draft.  Look poured jet black with a 3/4 tannish head  Smell of roasted malt   Taste smoky taste with hints of coffee  Feel medium body great feel  Overall I’ve had this before from a bottle but first time draft . Excellent draft . Well done !   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Smooth but strong taste. Awesome 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Decanted from a 12 oz (355 ml) bottle into a red wine glass; best by 3/1/19  A: Pours a dark brown color, almost black with brown highlights. Forms a foamy, three-quarter inch, wheat colored head with solid retention and lacing.  S: Light aromas of cafe au lait, cocoa, malta, and almonds.  T: Palate follow the nose. Bitterness balanced and matched to level of maltiness, resulting in an even flavor.  M: Medium bodied with medium effervescence. Creamy and very smooth.  O: Drinkable and highly enjoyable. Very balanced. Had two and will certainly have more in the future.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Can’t believe I’ve never rated this before!    Pours a deep, opaque black. With a finger of khaki head.    Smells of toasted chocolate malts, with a crispness rather than sweetness, that hints at a larger presence of hops.    Smooth, creamy, chocolate with a clean crispness that I can best describe as spruce.    As far as body goes, it is a lighter, very drinkable porter. Not sweet, more dry.   
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 A: Pours a creamy 1 finger head. Almost no light gets through, a deep deep burgundy    S: Malty, nutty, chocolate. Proving that less can be more.    T: Tastes exactly the way it smells. The toasted bitterness plays well with the bitterness of the chocolate and the malt is the body that binds everything together.    O: A fine porter. Easy to drink on a cold day. Simple, yet well executed.   
look: 4 | smell: 3.75 | taste: 4.75 | feel: 4 | overall: 4.25 An exceptional American Porter -- Wish it was on the East coast 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 One of my “Island Beers”. Top 5 favorites.    Great aroma. Lots of roasted malts and chocolate.     slight hop kick on finish to get you ready for next sip. Very drinkable easy to knock back a few.   
look: 5 | smell: 4 | taste: 3 | feel: 2 | overall: 3 Very Thin for a porter. 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 5 This porter could pass for a black bock, the long cook required for the black appearance makes it too bitter; yet its smooth malts mask that.  Kept me wishing for more alcohol content, and a hint of bitter hops.   Would compliment spruce neuences nicely; will try it in a Black and Tan for sure.   
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Delicious, rich, smooth porter that really impressed me. Dark brown, almost black color with some slowly-fading tan head and some nice sheets of lingering lacing. Smells of roast coffee and dark chocolate. Tastes similarly, along with caramel, vanilla and malt. Amazingly smooth and slightly creamy mouthfeel. Good amount of carbonation. I’m used to a little more bite when I sample porters and this one is just so buttery smooth. Well done!   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 3.25 | overall: 3.75 It’s probably not the beer’s fault that I give it lower marks as I’m more used to the cranked-up stouts and imperial stouts. Poured a beautiful black without much head, but with lots of sticky lacing. Smelled of roasted coffee and chocolate, toasty malt, inviting but not too complex. Taste follows, with some bitterness from the roasted malt and slight hop bitterness. Feels slightly creamy, but less robust than I would like, thin at times. Extremely drinkable - goes down smooth.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Dark but somewhat reddish when held to the light. Had a good toasty malt smell. Medium pleasant mouthful and an awesome taste of smooth bitterness with a dark chocolate flavor. Loved this beer I should drink more like this.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 About the color of a cola. An inviting tan-ish head, initially thin then grows to a medium frothy-ness. Though it's a Porter it has more bitterness than most. Bottle declares - "Notes of rich chocolate and coffee, a luscious creaminess and a roasted finish." I'm in agreement with the coffee and roasted finish mostly. Not at the top of the list of my favorite Porters but I'm a Porter guy and would grab this ahead of 80% of the IPA's out there.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3 | smell: 4 | taste: 4.25 | feel: 2.5 | overall: 3.25 Very conflicted about this beer. Overall, the soda-like qualities of appearance and texture put me off, though this porter brings enough flavor and complexity to the game that i can almost overlook the cardinal sin of brewing a highly flavored beer with no discernible satisfaction. It look like less bubbly cola, unfortunately, though the color is really something. The smell is very complex, with some vanilla, malt, and even a bit of hop action. The taste is the same, with a bit of banana and coffee thrown in there as well. Enjoyable flavor, disappointing texture.   
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 Not what I was expecting , most porters are too much like coffee not this one. Its the right blend of flavors to give it a good dark feel without being heavy like a stout.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 2.5 | taste: 2 | feel: 2.75 | overall: 2.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 First Deschutes since the Abyss about four years ago. Let's see how it goes. Here goes:    A: Pretty good. A little too much body carbonation for a porter, but this isn't a deal-breaker. Pours deep black with a red hue, leaves a large head and adequate lacing. Good.    S: More chocolatey than fruity, but neither quality is really pronounced. Lots of burnt malt, actually, with faint hints of chocolate and some prunes. Again, no scent besides the burnt malt is really pronounced, but it's pretty complex nonetheless.    T: Follows the nose. Faint hints of chocolate w/ dark fruit in the aftertaste. Burnt malt coats the palate.    F: Little light, but alright.    O: Good beer, but nothing special.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3 | feel: 3.25 | overall: 3.25 A bit boozy for a porter. Not bad but not my favorite. First deschutes I’ve been disapointed with. 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 This is a solid porter. Roasty malt, clean finish. Lighter body with moderate carbonation. Drinkable, sessionable beer. There are other porters I've liked more, usually with and added flavoring like coffee or roasted coconut. This beer is just a little too light on flavor and body for me. It obviously has a good following for a good reason as other reviews show. Just not my favorite.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 2.75 | taste: 3 | feel: 2.25 | overall: 2.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Dark chocolate taste, a little bitter, heavy in the mouth, gives an awesome buzz. Awesome beer and awesome company! 
look: 4.25 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4 | overall: 4.25 Oh this tasted so much better on draft then in the bottle but that seems to be the case with all craft beers this is an amazing American Porter a lot of taste here   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Bottle BBD 7/24/18, consumed 3/3/18    Poured deep dark black with a small head that left a little bit of spotty lacing.    Aroma is rich roasted malt and earthy hops. Some chocolate and sweet molasses in there as well.    Taste has more dark fruit up front, very different from the aroma, like a dark Belgian without the yeast. Sweet roasted malt is there to fill out the end.    Mouthfeel is light-medium, smooth malt feel, low bitterness and super easy drinking.     Overall, an outstanding porter usually available at a great value. Not thick and substantial, but certainly not a thin, watery blowover. This brew has great complex aromas and flavors. A regular in the porter rotation.   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4 | taste: 5 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pored into tulip glass. Best by 3/18/18. Rich with chocolate and coffee. Surprisingly smooth to drink. 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 2.75 | overall: 3.5 Good presentation and flavor with boring mouthfeel and disappears as soon as it's swallowed. 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Ruby brown body, shimmering and deep. Two and a half finger beige head slowly dissipates to a faint ring.  The nose is malty with some char, mollases and earthy hops.  The taste is rich, roasted malts, dark fruit skins, a touch of french caramel sweetness, faint coffee and earthy, herby hops.  Smooth and light mouth feel with a medium body and carbonation with a slight black coffee aftertaste.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3 | taste: 2.75 | feel: 2.5 | overall: 3 IMO, this is too thin and lacks complexity. Perhaps that's what an American Porter should be (hopefully not), but I found Founder's Porter to be the proper porter that Black Butte is not.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Poured out of a 12 oz. bottle into one of my pint glasses, this beer pours a clear, dark brown color with some deep amber/ruby highlights around the edges when held up to the light. Has a slightly tan head that's about an inch thick when first poured that settles eventually to a film layer of cluster swirls foam that covers most of the beer's surface and a fairly think ring lining the inside of the glass. Aromas of roasted caramel malts along with hints of cocoa and coffee and some roasted nuts. The taste is pretty much the same, with roasted caramel malt sweetness that's followed by cocoa and coffee notes and some roasted nuttiness. There's a bit of an earthy hop presence that has just a bit of bitterness. Nice balance of flavors. Has a crisp, yet smooth and somewhat creamy, medium bodied mouthfeel with moderate carbonation. Has a clean finish with a slightly dry aftertaste. A very solid beer here indeed that's spot on for the style.    Eric   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 2 | taste: 3 | feel: 4 | overall: 3.5 Easy drinking porter. Got on draft. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.75 Great looking beer. One of the darkest I’ve seen even held near light. Tan head but not a thick head. Smells like coffee and (ginger?)bread due to live yeast added. Tastes better than it smells imo but both great. Not too much hint of coffee. Just right. Feels smooth like most porters with balanced bitterness. One of the best brews I’ve personally ever had.   
look: 2.75 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2.25 Poured dark with garnet red tinge. Limited temporary head, slight lacing.   Slight smell is sweet malt.  Taste is coffee with sweetish malt overtone and an almost indescribable green malt lingering aftertaste.  Mouth is watery thin, mild carbonation.  I am puzzled how some rave over this this beer.  I have a very favorite porter and I like several others.   
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 5 | overall: 4 16oz nitro draft presentation into a pint glass boasts a night black body resting beneath a persistent 1/4in blanket of cream colored head leaving erratic webbed lacing.    Aroma is all roasty malt with no particular affinity, meaning neither coffee nor chocolate forward.    Flavor matches.    Mouthfeel is creamy, smooth, full, and perfect with a dry finish.    Overall one of the best.   
look: 4.75 | smell: 3.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 2.75 | feel: 1.5 | overall: 2.75 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 My favorite go to beer. If I am ever stuck on deciding what I want it always ends with me leaving with Black Butte. The smoothness is amazing and taste unmatched by any. Subtle coffee and chocolate as you would expect from a Porter but not overwhelmingly sweet. When people claim to not like dark beer I turn to this to change their opinion and it has not failed me once.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 3.5 | overall: 4 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 Bitter and Robust. Thick and medium carbonation. About 175 kcal which I'd expect for a porter. Widely available and reasonably priced for a quality beer.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 3.25 | feel: 2.75 | overall: 3.5 Totally blindsided by this one. The Bros raved about it, it has lots of fans, it looks beautiful, and smells appealing. Personally, not a fan at all. Maybe Founders' Porter has me spoiled.    L: Looks thin, but pretty dark. Cola colors where light does penetrate. Gorgeous head. Jiggled like jello and lasted quite some time, leaving lots of lacing.    S: Very mellow. Charcoal, chocolate, roast, malt, burnt sugar and coffee-like acidity. I don't notice any hop character.    T: Watery af. Idk where the 192 calories are coming from, because this tastes lighter than Modelo Negra. The roast, chocolate, malt, caramelized sugar, and slight coffee acidity are detectable, but its all very subdued.    F: Even more awful than the flavor. Feels like a cross between an old iced black coffee and a mostly flat soda with a good amount of melted ice in it.    O: Meh. Not for me. I actually prefer my dark beer dark, please?   
look: 4.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 4.75 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Goeun's favorite beer 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 4.5 | feel: 4.75 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 This is a nice porter fir the price at 8:99 a six pack.     L: This has a nice look dark in color with about a finger of head.     S: light hop bitterness , malty , coffee and chocolate and a bit resigns    T: This is a very easy drinking porter. Well balanced on the flavor and overall just a great taste for 5.2 ABV.     F : Slight carbonation, not to heavy, very drinkable.    Overall I really enjoy this porter, definetely a nice balance of flavor and tart just what I expect from a porter. Not to sweet either.   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 Dark opaque color with creamy lined lacing. Smells of nuts, light coffee, cocoa, and dark malts. Taste is similar with stronger malt and some brown sugar. Goes down very easy with a rich but smooth body. Just a great porter.   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 4 Quality porter. Didn't notice any chocolate taste, but nice beer. It got better after breathing a bit in the glass. 
